id,disease_name,state,case_count,month,year,severity
81,"Hepatitis A","Delhi",617,1,2022,"Low"
82,"Hepatitis A","Maharashtra",2078,1,2022,"Medium"
83,"Hepatitis A","Karnataka",1103,1,2022,"Medium"
84,"Hepatitis A","Tamil Nadu",4404,1,2022,"High"
85,"Hepatitis A","Rajasthan",3093,1,2022,"High"
86,"Hepatitis A","Uttar Pradesh",2978,1,2022,"Medium"
87,"Hepatitis A","West Bengal",3409,1,2022,"High"
88,"Hepatitis A","Kerala",1204,1,2022,"Medium"
89,"Hepatitis A","Gujarat",1993,1,2022,"Medium"
90,"Hepatitis A","Madhya Pradesh",3174,1,2022,"High"
91,"Japanese Encephalitis","Delhi",3335,1,2022,"High"
92,"Japanese Encephalitis","Maharashtra",4536,1,2022,"High"
93,"Japanese Encephalitis","Karnataka",495,1,2022,"Low"
94,"Japanese Encephalitis","Tamil Nadu",618,1,2022,"Low"
95,"Japanese Encephalitis","Rajasthan",4323,1,2022,"High"
96,"Japanese Encephalitis","Uttar Pradesh",1684,1,2022,"Medium"
97,"Japanese Encephalitis","West Bengal",4841,1,2022,"High"
98,"Japanese Encephalitis","Kerala",3246,1,2022,"High"
99,"Japanese Encephalitis","Gujarat",1543,1,2022,"Medium"
100,"Japanese Encephalitis","Madhya Pradesh",4316,1,2022,"High"
101,"Dengue","Delhi",3151,2,2022,"High"
102,"Dengue","Maharashtra",3898,2,2022,"High"
103,"Dengue","Karnataka",25,2,2022,"Low"
104,"Dengue","Tamil Nadu",1732,2,2022,"Medium"
105,"Dengue","Rajasthan",3715,2,2022,"High"
106,"Dengue","Uttar Pradesh",3614,2,2022,"High"
107,"Dengue","West Bengal",1039,2,2022,"Medium"
108,"Dengue","Kerala",1792,2,2022,"Medium"
109,"Dengue","Gujarat",743,2,2022,"Low"
110,"Dengue","Madhya Pradesh",546,2,2022,"Low"
111,"Malaria","Delhi",1057,2,2022,"Medium"
112,"Malaria","Maharashtra",716,2,2022,"Low"
113,"Malaria","Karnataka",4811,2,2022,"High"
114,"Malaria","Tamil Nadu",3166,2,2022,"High"
115,"Malaria","Rajasthan",1463,2,2022,"Medium"
116,"Malaria","Uttar Pradesh",3316,2,2022,"High"
117,"Malaria","West Bengal",3903,2,2022,"High"
118,"Malaria","Kerala",1762,2,2022,"Medium"
119,"Malaria","Gujarat",4155,2,2022,"High"
120,"Malaria","Madhya Pradesh",348,2,2022,"Low"
121,"Influenza","Delhi",131,2,2022,"Low"
122,"Influenza","Maharashtra",30,2,2022,"Low"
123,"Influenza","Karnataka",101,2,2022,"Low"
124,"Influenza","Tamil Nadu",4448,2,2022,"High"
125,"Influenza","Rajasthan",3631,2,2022,"High"
126,"Influenza","Uttar Pradesh",2906,2,2022,"Medium"
127,"Influenza","West Bengal",2105,2,2022,"Medium"
128,"Influenza","Kerala",716,2,2022,"Low"
129,"Influenza","Gujarat",2843,2,2022,"Medium"
130,"Influenza","Madhya Pradesh",3646,2,2022,"High"
131,"COVID-19","Delhi",701,2,2022,"Low"
132,"COVID-19","Maharashtra",3228,2,2022,"High"
133,"COVID-19","Karnataka",4853,2,2022,"High"
134,"COVID-19","Tamil Nadu",3826,2,2022,"High"
135,"COVID-19","Rajasthan",2873,2,2022,"Medium"
136,"COVID-19","Uttar Pradesh",2368,2,2022,"Medium"
137,"COVID-19","West Bengal",393,2,2022,"Low"
138,"COVID-19","Kerala",2054,2,2022,"Medium"
139,"COVID-19","Gujarat",3719,2,2022,"High"
140,"COVID-19","Madhya Pradesh",620,2,2022,"Low"
141,"Typhoid","Delhi",4053,2,2022,"High"
142,"Typhoid","Maharashtra",4602,2,2022,"High"
143,"Typhoid","Karnataka",2681,2,2022,"Medium"
144,"Typhoid","Tamil Nadu",1436,2,2022,"Medium"
145,"Typhoid","Rajasthan",971,2,2022,"Low"
146,"Typhoid","Uttar Pradesh",4558,2,2022,"High"
147,"Typhoid","West Bengal",3863,2,2022,"High"
148,"Typhoid","Kerala",3232,2,2022,"High"
149,"Typhoid","Gujarat",1711,2,2022,"Medium"
150,"Typhoid","Madhya Pradesh",2762,2,2022,"Medium"
151,"Cholera","Delhi",2611,2,2022,"Medium"
152,"Cholera","Maharashtra",3184,2,2022,"High"
153,"Cholera","Karnataka",2611,2,2022,"Medium"
154,"Cholera","Tamil Nadu",1726,2,2022,"Medium"
155,"Cholera","Rajasthan",4975,2,2022,"High"
156,"Cholera","Uttar Pradesh",2280,2,2022,"Medium"
157,"Cholera","West Bengal",2895,2,2022,"Medium"
158,"Cholera","Kerala",1138,2,2022,"Medium"
159,"Cholera","Gujarat",4305,2,2022,"High"
160,"Cholera","Madhya Pradesh",148,2,2022,"Low"
161,"Tuberculosis","Delhi",4443,2,2022,"High"
162,"Tuberculosis","Maharashtra",734,2,2022,"Low"
163,"Tuberculosis","Karnataka",109,2,2022,"Low"
164,"Tuberculosis","Tamil Nadu",600,2,2022,"Low"
165,"Tuberculosis","Rajasthan",2197,2,2022,"Medium"
166,"Tuberculosis","Uttar Pradesh",3554,2,2022,"High"
167,"Tuberculosis","West Bengal",3665,2,2022,"High"
168,"Tuberculosis","Kerala",4592,2,2022,"High"
169,"Tuberculosis","Gujarat",2059,2,2022,"Medium"
170,"Tuberculosis","Madhya Pradesh",166,2,2022,"Low"
171,"Chikungunya","Delhi",631,2,2022,"Low"
172,"Chikungunya","Maharashtra",2312,2,2022,"Medium"
173,"Chikungunya","Karnataka",3223,2,2022,"High"
174,"Chikungunya","Tamil Nadu",1746,2,2022,"Medium"
175,"Chikungunya","Rajasthan",1091,2,2022,"Medium"
176,"Chikungunya","Uttar Pradesh",2572,2,2022,"Medium"
177,"Chikungunya","West Bengal",4683,2,2022,"High"
178,"Chikungunya","Kerala",2286,2,2022,"Medium"
179,"Chikungunya","Gujarat",3765,2,2022,"High"
180,"Chikungunya","Madhya Pradesh",3308,2,2022,"High"
181,"Hepatitis A","Delhi",4375,2,2022,"High"
182,"Hepatitis A","Maharashtra",2202,2,2022,"Medium"
183,"Hepatitis A","Karnataka",3457,2,2022,"High"
184,"Hepatitis A","Tamil Nadu",3516,2,2022,"High"
185,"Hepatitis A","Rajasthan",4915,2,2022,"High"
186,"Hepatitis A","Uttar Pradesh",2134,2,2022,"Medium"
187,"Hepatitis A","West Bengal",4917,2,2022,"High"
188,"Hepatitis A","Kerala",2016,2,2022,"Medium"
189,"Hepatitis A","Gujarat",2711,2,2022,"Medium"
190,"Hepatitis A","Madhya Pradesh",4146,2,2022,"High"
191,"Japanese Encephalitis","Delhi",3739,2,2022,"High"
192,"Japanese Encephalitis","Maharashtra",1100,2,2022,"Medium"
193,"Japanese Encephalitis","Karnataka",4737,2,2022,"High"
194,"Japanese Encephalitis","Tamil Nadu",4470,2,2022,"High"
195,"Japanese Encephalitis","Rajasthan",4135,2,2022,"High"
196,"Japanese Encephalitis","Uttar Pradesh",1468,2,2022,"Medium"
197,"Japanese Encephalitis","West Bengal",2263,2,2022,"Medium"
198,"Japanese Encephalitis","Kerala",4714,2,2022,"High"
199,"Japanese Encephalitis","Gujarat",1859,2,2022,"Medium"
200,"Japanese Encephalitis","Madhya Pradesh",492,2,2022,"Low"
201,"Dengue","Delhi",3825,3,2022,"High"
202,"Dengue","Maharashtra",4422,3,2022,"High"
203,"Dengue","Karnataka",4007,3,2022,"High"
204,"Dengue","Tamil Nadu",3364,3,2022,"High"
205,"Dengue","Rajasthan",3583,3,2022,"High"
206,"Dengue","Uttar Pradesh",3170,3,2022,"High"
207,"Dengue","West Bengal",4475,3,2022,"High"
208,"Dengue","Kerala",776,3,2022,"Low"
209,"Dengue","Gujarat",3913,3,2022,"High"
210,"Dengue","Madhya Pradesh",3326,3,2022,"High"
211,"Malaria","Delhi",1349,3,2022,"Medium"
212,"Malaria","Maharashtra",3300,3,2022,"High"
213,"Malaria","Karnataka",4325,3,2022,"High"
214,"Malaria","Tamil Nadu",2378,3,2022,"Medium"
215,"Malaria","Rajasthan",1465,3,2022,"Medium"
216,"Malaria","Uttar Pradesh",164,3,2022,"Low"
217,"Malaria","West Bengal",3091,3,2022,"High"
218,"Malaria","Kerala",3374,3,2022,"High"
219,"Malaria","Gujarat",2223,3,2022,"Medium"
220,"Malaria","Madhya Pradesh",2464,3,2022,"Medium"
221,"Influenza","Delhi",3631,3,2022,"High"
222,"Influenza","Maharashtra",1690,3,2022,"Medium"
223,"Influenza","Karnataka",2723,3,2022,"Medium"
224,"Influenza","Tamil Nadu",3272,3,2022,"High"
225,"Influenza","Rajasthan",4105,3,2022,"High"
226,"Influenza","Uttar Pradesh",86,3,2022,"Low"
227,"Influenza","West Bengal",4317,3,2022,"High"
228,"Influenza","Kerala",544,3,2022,"Low"
229,"Influenza","Gujarat",3317,3,2022,"High"
230,"Influenza","Madhya Pradesh",2050,3,2022,"Medium"
231,"COVID-19","Delhi",3753,3,2022,"High"
232,"COVID-19","Maharashtra",2520,3,2022,"Medium"
233,"COVID-19","Karnataka",299,3,2022,"Low"
234,"COVID-19","Tamil Nadu",126,3,2022,"Low"
235,"COVID-19","Rajasthan",101,3,2022,"Low"
236,"COVID-19","Uttar Pradesh",680,3,2022,"Low"
237,"COVID-19","West Bengal",3431,3,2022,"High"
238,"COVID-19","Kerala",314,3,2022,"Low"
239,"COVID-19","Gujarat",2947,3,2022,"Medium"
240,"COVID-19","Madhya Pradesh",3628,3,2022,"High"
241,"Typhoid","Delhi",2073,3,2022,"Medium"
242,"Typhoid","Maharashtra",662,3,2022,"Low"
243,"Typhoid","Karnataka",981,3,2022,"Low"
244,"Typhoid","Tamil Nadu",2492,3,2022,"Medium"
245,"Typhoid","Rajasthan",4247,3,2022,"High"
246,"Typhoid","Uttar Pradesh",3714,3,2022,"High"
247,"Typhoid","West Bengal",3225,3,2022,"High"
248,"Typhoid","Kerala",4148,3,2022,"High"
249,"Typhoid","Gujarat",195,3,2022,"Low"
250,"Typhoid","Madhya Pradesh",4126,3,2022,"High"
251,"Cholera","Delhi",2503,3,2022,"Medium"
252,"Cholera","Maharashtra",3072,3,2022,"High"
253,"Cholera","Karnataka",2335,3,2022,"Medium"
254,"Cholera","Tamil Nadu",2994,3,2022,"Medium"
255,"Cholera","Rajasthan",2713,3,2022,"Medium"
256,"Cholera","Uttar Pradesh",3104,3,2022,"High"
257,"Cholera","West Bengal",2547,3,2022,"Medium"
258,"Cholera","Kerala",2758,3,2022,"Medium"
259,"Cholera","Gujarat",4999,3,2022,"High"
260,"Cholera","Madhya Pradesh",3464,3,2022,"High"
261,"Tuberculosis","Delhi",3589,3,2022,"High"
262,"Tuberculosis","Maharashtra",4618,3,2022,"High"
263,"Tuberculosis","Karnataka",2035,3,2022,"Medium"
264,"Tuberculosis","Tamil Nadu",3292,3,2022,"High"
265,"Tuberculosis","Rajasthan",459,3,2022,"Low"
266,"Tuberculosis","Uttar Pradesh",4966,3,2022,"High"
267,"Tuberculosis","West Bengal",2149,3,2022,"Medium"
268,"Tuberculosis","Kerala",4044,3,2022,"High"
269,"Tuberculosis","Gujarat",687,3,2022,"Low"
270,"Tuberculosis","Madhya Pradesh",3546,3,2022,"High"
271,"Chikungunya","Delhi",3337,3,2022,"High"
272,"Chikungunya","Maharashtra",4656,3,2022,"High"
273,"Chikungunya","Karnataka",1457,3,2022,"Medium"
274,"Chikungunya","Tamil Nadu",3710,3,2022,"High"
275,"Chikungunya","Rajasthan",4663,3,2022,"High"
276,"Chikungunya","Uttar Pradesh",4584,3,2022,"High"
277,"Chikungunya","West Bengal",1229,3,2022,"Medium"
278,"Chikungunya","Kerala",3826,3,2022,"High"
279,"Chikungunya","Gujarat",2569,3,2022,"Medium"
280,"Chikungunya","Madhya Pradesh",1652,3,2022,"Medium"
281,"Hepatitis A","Delhi",1841,3,2022,"Medium"
282,"Hepatitis A","Maharashtra",3774,3,2022,"High"
283,"Hepatitis A","Karnataka",4477,3,2022,"High"
284,"Hepatitis A","Tamil Nadu",816,3,2022,"Low"
285,"Hepatitis A","Rajasthan",3927,3,2022,"High"
286,"Hepatitis A","Uttar Pradesh",2418,3,2022,"Medium"
287,"Hepatitis A","West Bengal",3739,3,2022,"High"
288,"Hepatitis A","Kerala",720,3,2022,"Low"
289,"Hepatitis A","Gujarat",273,3,2022,"Low"
290,"Hepatitis A","Madhya Pradesh",94,3,2022,"Low"
291,"Japanese Encephalitis","Delhi",3007,3,2022,"High"
292,"Japanese Encephalitis","Maharashtra",1940,3,2022,"Medium"
293,"Japanese Encephalitis","Karnataka",4215,3,2022,"High"
294,"Japanese Encephalitis","Tamil Nadu",3658,3,2022,"High"
295,"Japanese Encephalitis","Rajasthan",2329,3,2022,"Medium"
296,"Japanese Encephalitis","Uttar Pradesh",1636,3,2022,"Medium"
297,"Japanese Encephalitis","West Bengal",3769,3,2022,"High"
298,"Japanese Encephalitis","Kerala",2766,3,2022,"Medium"
299,"Japanese Encephalitis","Gujarat",3813,3,2022,"High"
300,"Japanese Encephalitis","Madhya Pradesh",1256,3,2022,"Medium"
301,"Dengue","Delhi",3325,4,2022,"High"
302,"Dengue","Maharashtra",1458,4,2022,"Medium"
303,"Dengue","Karnataka",2059,4,2022,"Medium"
304,"Dengue","Tamil Nadu",740,4,2022,"Low"
305,"Dengue","Rajasthan",753,4,2022,"Low"
306,"Dengue","Uttar Pradesh",4270,4,2022,"High"
307,"Dengue","West Bengal",1573,4,2022,"Medium"
308,"Dengue","Kerala",4692,4,2022,"High"
309,"Dengue","Gujarat",4751,4,2022,"High"
310,"Dengue","Madhya Pradesh",3330,4,2022,"High"
311,"Malaria","Delhi",2665,4,2022,"Medium"
312,"Malaria","Maharashtra",4564,4,2022,"High"
313,"Malaria","Karnataka",4425,4,2022,"High"
314,"Malaria","Tamil Nadu",1950,4,2022,"Medium"
315,"Malaria","Rajasthan",1671,4,2022,"Medium"
316,"Malaria","Uttar Pradesh",608,4,2022,"Low"
317,"Malaria","West Bengal",381,4,2022,"Low"
318,"Malaria","Kerala",4074,4,2022,"High"
319,"Malaria","Gujarat",2987,4,2022,"Medium"
320,"Malaria","Madhya Pradesh",1776,4,2022,"Medium"
321,"Influenza","Delhi",801,4,2022,"Low"
322,"Influenza","Maharashtra",3966,4,2022,"High"
323,"Influenza","Karnataka",4933,4,2022,"High"
324,"Influenza","Tamil Nadu",1336,4,2022,"Medium"
325,"Influenza","Rajasthan",4717,4,2022,"High"
326,"Influenza","Uttar Pradesh",722,4,2022,"Low"
327,"Influenza","West Bengal",3001,4,2022,"High"
328,"Influenza","Kerala",4300,4,2022,"High"
329,"Influenza","Gujarat",3465,4,2022,"High"
330,"Influenza","Madhya Pradesh",3158,4,2022,"High"
331,"COVID-19","Delhi",1703,4,2022,"Medium"
332,"COVID-19","Maharashtra",3740,4,2022,"High"
333,"COVID-19","Karnataka",3797,4,2022,"High"
334,"COVID-19","Tamil Nadu",274,4,2022,"Low"
335,"COVID-19","Rajasthan",2875,4,2022,"Medium"
336,"COVID-19","Uttar Pradesh",1104,4,2022,"Medium"
337,"COVID-19","West Bengal",1619,4,2022,"Medium"
338,"COVID-19","Kerala",1998,4,2022,"Medium"
339,"COVID-19","Gujarat",2263,4,2022,"Medium"
340,"COVID-19","Madhya Pradesh",2968,4,2022,"Medium"
341,"Typhoid","Delhi",1877,4,2022,"Medium"
342,"Typhoid","Maharashtra",2282,4,2022,"Medium"
343,"Typhoid","Karnataka",891,4,2022,"Low"
344,"Typhoid","Tamil Nadu",4136,4,2022,"High"
345,"Typhoid","Rajasthan",299,4,2022,"Low"
346,"Typhoid","Uttar Pradesh",1214,4,2022,"Medium"
347,"Typhoid","West Bengal",3167,4,2022,"High"
348,"Typhoid","Kerala",2428,4,2022,"Medium"
349,"Typhoid","Gujarat",4127,4,2022,"High"
350,"Typhoid","Madhya Pradesh",1674,4,2022,"Medium"
351,"Cholera","Delhi",2393,4,2022,"Medium"
352,"Cholera","Maharashtra",4464,4,2022,"High"
353,"Cholera","Karnataka",3993,4,2022,"High"
354,"Cholera","Tamil Nadu",2142,4,2022,"Medium"
355,"Cholera","Rajasthan",933,4,2022,"Low"
356,"Cholera","Uttar Pradesh",4872,4,2022,"High"
357,"Cholera","West Bengal",3005,4,2022,"High"
358,"Cholera","Kerala",4882,4,2022,"High"
359,"Cholera","Gujarat",4059,4,2022,"High"
360,"Cholera","Madhya Pradesh",3560,4,2022,"High"
361,"Tuberculosis","Delhi",3169,4,2022,"High"
362,"Tuberculosis","Maharashtra",4734,4,2022,"High"
363,"Tuberculosis","Karnataka",2341,4,2022,"Medium"
364,"Tuberculosis","Tamil Nadu",224,4,2022,"Low"
365,"Tuberculosis","Rajasthan",4853,4,2022,"High"
366,"Tuberculosis","Uttar Pradesh",3858,4,2022,"High"
367,"Tuberculosis","West Bengal",3185,4,2022,"High"
368,"Tuberculosis","Kerala",4728,4,2022,"High"
369,"Tuberculosis","Gujarat",2835,4,2022,"Medium"
370,"Tuberculosis","Madhya Pradesh",2758,4,2022,"Medium"
371,"Chikungunya","Delhi",1437,4,2022,"Medium"
372,"Chikungunya","Maharashtra",1908,4,2022,"Medium"
373,"Chikungunya","Karnataka",3943,4,2022,"High"
374,"Chikungunya","Tamil Nadu",258,4,2022,"Low"
375,"Chikungunya","Rajasthan",3801,4,2022,"High"
376,"Chikungunya","Uttar Pradesh",1612,4,2022,"Medium"
377,"Chikungunya","West Bengal",2155,4,2022,"Medium"
378,"Chikungunya","Kerala",254,4,2022,"Low"
379,"Chikungunya","Gujarat",335,4,2022,"Low"
380,"Chikungunya","Madhya Pradesh",4440,4,2022,"High"
381,"Hepatitis A","Delhi",4141,4,2022,"High"
382,"Hepatitis A","Maharashtra",1690,4,2022,"Medium"
383,"Hepatitis A","Karnataka",1435,4,2022,"Medium"
384,"Hepatitis A","Tamil Nadu",2396,4,2022,"Medium"
385,"Hepatitis A","Rajasthan",3187,4,2022,"High"
386,"Hepatitis A","Uttar Pradesh",3974,4,2022,"High"
387,"Hepatitis A","West Bengal",4677,4,2022,"High"
388,"Hepatitis A","Kerala",3800,4,2022,"High"
389,"Hepatitis A","Gujarat",3743,4,2022,"High"
390,"Hepatitis A","Madhya Pradesh",2330,4,2022,"Medium"
391,"Japanese Encephalitis","Delhi",3393,4,2022,"High"
392,"Japanese Encephalitis","Maharashtra",3996,4,2022,"High"
393,"Japanese Encephalitis","Karnataka",1923,4,2022,"Medium"
394,"Japanese Encephalitis","Tamil Nadu",3998,4,2022,"High"
395,"Japanese Encephalitis","Rajasthan",4541,4,2022,"High"
396,"Japanese Encephalitis","Uttar Pradesh",4004,4,2022,"High"
397,"Japanese Encephalitis","West Bengal",2847,4,2022,"Medium"
398,"Japanese Encephalitis","Kerala",3282,4,2022,"High"
399,"Japanese Encephalitis","Gujarat",1769,4,2022,"Medium"
400,"Japanese Encephalitis","Madhya Pradesh",1880,4,2022,"Medium"
401,"Dengue","Delhi",379,5,2022,"Low"
402,"Dengue","Maharashtra",3598,5,2022,"High"
403,"Dengue","Karnataka",3061,5,2022,"High"
404,"Dengue","Tamil Nadu",2884,5,2022,"Medium"
405,"Dengue","Rajasthan",2719,5,2022,"Medium"
406,"Dengue","Uttar Pradesh",2706,5,2022,"Medium"
407,"Dengue","West Bengal",3643,5,2022,"High"
408,"Dengue","Kerala",1564,5,2022,"Medium"
409,"Dengue","Gujarat",2801,5,2022,"Medium"
410,"Dengue","Madhya Pradesh",1382,5,2022,"Medium"
411,"Malaria","Delhi",2701,5,2022,"Medium"
412,"Malaria","Maharashtra",2852,5,2022,"Medium"
413,"Malaria","Karnataka",4103,5,2022,"High"
414,"Malaria","Tamil Nadu",4642,5,2022,"High"
415,"Malaria","Rajasthan",3315,5,2022,"High"
416,"Malaria","Uttar Pradesh",4928,5,2022,"High"
417,"Malaria","West Bengal",1667,5,2022,"Medium"
418,"Malaria","Kerala",1126,5,2022,"Medium"
419,"Malaria","Gujarat",1271,5,2022,"Medium"
420,"Malaria","Madhya Pradesh",2520,5,2022,"Medium"
421,"Influenza","Delhi",4549,5,2022,"High"
422,"Influenza","Maharashtra",970,5,2022,"Low"
423,"Influenza","Karnataka",4683,5,2022,"High"
424,"Influenza","Tamil Nadu",3416,5,2022,"High"
425,"Influenza","Rajasthan",1457,5,2022,"Medium"
426,"Influenza","Uttar Pradesh",3838,5,2022,"High"
427,"Influenza","West Bengal",2029,5,2022,"Medium"
428,"Influenza","Kerala",3296,5,2022,"High"
429,"Influenza","Gujarat",2197,5,2022,"Medium"
430,"Influenza","Madhya Pradesh",3250,5,2022,"High"
431,"COVID-19","Delhi",1569,5,2022,"Medium"
432,"COVID-19","Maharashtra",2380,5,2022,"Medium"
433,"COVID-19","Karnataka",2371,5,2022,"Medium"
434,"COVID-19","Tamil Nadu",1558,5,2022,"Medium"
435,"COVID-19","Rajasthan",3293,5,2022,"High"
436,"COVID-19","Uttar Pradesh",704,5,2022,"Low"
437,"COVID-19","West Bengal",613,5,2022,"Low"
438,"COVID-19","Kerala",4218,5,2022,"High"
439,"COVID-19","Gujarat",2777,5,2022,"Medium"
440,"COVID-19","Madhya Pradesh",1260,5,2022,"Medium"
441,"Typhoid","Delhi",4169,5,2022,"High"
442,"Typhoid","Maharashtra",2814,5,2022,"Medium"
443,"Typhoid","Karnataka",3325,5,2022,"High"
444,"Typhoid","Tamil Nadu",1108,5,2022,"Medium"
445,"Typhoid","Rajasthan",1839,5,2022,"Medium"
446,"Typhoid","Uttar Pradesh",3890,5,2022,"High"
447,"Typhoid","West Bengal",3945,5,2022,"High"
448,"Typhoid","Kerala",1104,5,2022,"Medium"
449,"Typhoid","Gujarat",2683,5,2022,"Medium"
450,"Typhoid","Madhya Pradesh",934,5,2022,"Low"
451,"Cholera","Delhi",4887,5,2022,"High"
452,"Cholera","Maharashtra",4312,5,2022,"High"
453,"Cholera","Karnataka",3877,5,2022,"High"
454,"Cholera","Tamil Nadu",4202,5,2022,"High"
455,"Cholera","Rajasthan",761,5,2022,"Low"
456,"Cholera","Uttar Pradesh",3040,5,2022,"High"
457,"Cholera","West Bengal",2969,5,2022,"Medium"
458,"Cholera","Kerala",4430,5,2022,"High"
459,"Cholera","Gujarat",1535,5,2022,"Medium"
460,"Cholera","Madhya Pradesh",4564,5,2022,"High"
461,"Tuberculosis","Delhi",3559,5,2022,"High"
462,"Tuberculosis","Maharashtra",1762,5,2022,"Medium"
463,"Tuberculosis","Karnataka",371,5,2022,"Low"
464,"Tuberculosis","Tamil Nadu",4216,5,2022,"High"
465,"Tuberculosis","Rajasthan",2841,5,2022,"Medium"
466,"Tuberculosis","Uttar Pradesh",1166,5,2022,"Medium"
467,"Tuberculosis","West Bengal",4711,5,2022,"High"
468,"Tuberculosis","Kerala",3768,5,2022,"High"
469,"Tuberculosis","Gujarat",1015,5,2022,"Medium"
470,"Tuberculosis","Madhya Pradesh",426,5,2022,"Low"
471,"Chikungunya","Delhi",4073,5,2022,"High"
472,"Chikungunya","Maharashtra",4628,5,2022,"High"
473,"Chikungunya","Karnataka",2305,5,2022,"Medium"
474,"Chikungunya","Tamil Nadu",4382,5,2022,"High"
475,"Chikungunya","Rajasthan",141,5,2022,"Low"
